,UtcTime,EventID,ProcessGuid,Protocol,Initiated,SourceIsIpv6,SourceIp,SourcePort,DestinationIsIpv6,DestinationIp,DestinationPort,FileVersion,Description,Product,Company,OriginalFileName,CommandLine,CurrentDirectory,IntegrityLevel,ParentCommandLine,Signed,Signature,SignatureStatus,collector_node_id,Image_process,ParentImage_process,SourceImage_process,TargetImage_process,TargetObject_processed,TargetFilename_file,TargetFilename_processed,ImageLoaded_dll,ImageLoaded_processed
0,2024-02-05 09:15:54.685,1,{94b1a47c-a74a-65c0-8109-000000007d00},,,,,,,,,10.0.19041.3031 (winbuild.160101.0800),windows explorer,microsoft® windows® operating system,microsoft corporation,explorer.exe,c:\windows\explorer.exe,SYSTEMDIRECTORY,medium,c:\windows\system32\userinit.exe,,,,a0108020,explorer.exe,userinit.exe,,,,empty,,0,empty
1,2024-02-05 09:16:10.049,7,{94b1a47c-a74a-65c0-8109-000000007d00},,,,,,,,,,,,,,,,,,True,microsoft windows,valid,a0108020,explorer.exe,,,,,empty,,1,c:\windows\system32
2,2024-02-05 09:21:31.396,13,{94b1a47c-a74a-65c0-8109-000000007d00},,,,,,,,,,,,,,,,,,,,,a0108020,explorer.exe,,,,hku,empty,,0,empty
3,2024-01-24 19:30:25.133,1,{0ac3eb96-6551-65b1-402d-000000002300},,,,,,,,,10.0.19041.1151 (winbuild.160101.0800),windows explorer,microsoft® windows® operating system,microsoft corporation,explorer.exe,"""c:\windows\explorer.exe""",SYSTEMDIRECTORY,medium,c:\windows\system32\runtimebroker.exe -embedding,,,,a0108021,explorer.exe,runtimebroker.exe,,,,empty,,0,empty
4,2024-02-05 07:42:26.594,13,{0ac3eb96-8fee-65c0-e400-000000002400},,,,,,,,,,,,,,,,,,,,,a0108021,explorer.exe,,,,hku,empty,,0,empty
5,2024-01-09 06:50:46.336,1,{05fc2676-ecc6-659c-29ad-000000008800},,,,,,,,,10.0.19041.3031 (winbuild.160101.0800),windows explorer,microsoft® windows® operating system,microsoft corporation,explorer.exe,c:\windows\explorer.exe,SYSTEMDIRECTORY,medium,c:\windows\system32\userinit.exe,,,,a0108088,explorer.exe,userinit.exe,,,,empty,,0,empty
6,2024-01-09 06:55:48.947,13,{05fc2676-ecc6-659c-29ad-000000008800},,,,,,,,,,,,,,,,,,,,,a0108088,explorer.exe,,,,hku,empty,,0,empty
7,2024-01-10 07:15:56.871,1,{05fc2676-442c-659e-beb2-000000008800},,,,,,,,,10.0.19041.3031 (winbuild.160101.0800),windows explorer,microsoft® windows® operating system,microsoft corporation,explorer.exe,c:\windows\explorer.exe,SYSTEMDIRECTORY,medium,c:\windows\system32\userinit.exe,,,,a0108088,explorer.exe,userinit.exe,,,,empty,,0,empty
8,2024-01-10 07:21:00.005,13,{05fc2676-442c-659e-beb2-000000008800},,,,,,,,,,,,,,,,,,,,,a0108088,explorer.exe,,,,hku,empty,,0,empty
9,2024-01-11 06:20:29.300,1,{05fc2676-88ad-659f-2ec0-000000008800},,,,,,,,,10.0.19041.3031 (winbuild.160101.0800),windows explorer,microsoft® windows® operating system,microsoft corporation,explorer.exe,c:\windows\explorer.exe,SYSTEMDIRECTORY,medium,c:\windows\system32\userinit.exe,,,,a0108088,explorer.exe,userinit.exe,,,,empty,,0,empty
10,2024-01-11 06:25:32.187,13,{05fc2676-88ad-659f-2ec0-000000008800},,,,,,,,,,,,,,,,,,,,,a0108088,explorer.exe,,,,hku,empty,,0,empty
11,2024-01-16 06:38:44.548,1,{05fc2676-2474-65a6-7df2-000000008800},,,,,,,,,10.0.19041.3031 (winbuild.160101.0800),windows explorer,microsoft® windows® operating system,microsoft corporation,explorer.exe,c:\windows\explorer.exe,SYSTEMDIRECTORY,medium,c:\windows\system32\userinit.exe,,,,a0108088,explorer.exe,userinit.exe,,,,empty,,0,empty
12,2024-01-16 06:43:47.213,13,{05fc2676-2474-65a6-7df2-000000008800},,,,,,,,,,,,,,,,,,,,,a0108088,explorer.exe,,,,hku,empty,,0,empty
13,2024-01-23 06:47:39.422,1,{05fc2676-610b-65af-4821-010000008800},,,,,,,,,10.0.19041.3031 (winbuild.160101.0800),windows explorer,microsoft® windows® operating system,microsoft corporation,explorer.exe,c:\windows\explorer.exe,SYSTEMDIRECTORY,medium,c:\windows\system32\userinit.exe,,,,a0108088,explorer.exe,userinit.exe,,,,empty,,0,empty
14,2024-01-23 06:52:41.995,13,{05fc2676-610b-65af-4821-010000008800},,,,,,,,,,,,,,,,,,,,,a0108088,explorer.exe,,,,hku,empty,,0,empty
